id,gtg,case_study,harm_area,type,platform,value,role,description,first_seen,last_seen,handling,reference_url,report_date
indicator--c616ac79-1218-58b6-a4f7-a8f3cd35f34c,GTG-20006,Russian espionage,cyber_operations,ipv4,,38.146.28[.]75,infrastructure,Notifier C2 for the phishing console,,,detect-or-block,https://www.anthropic.com/threat-intelligence-report-september-2026#gtg-20006-russian-espionage,2026-09-10
indicator--55d759ad-ef5d-5f5f-a55a-e5d1a15b2243,GTG-20006,Russian espionage,cyber_operations,sha256,,918fa52ae45ed60ba7cc8bdc99c3cbe9ab92e0375ec31fc05d0d4513be11c593,malware,Windows Backdoor,,,detect-or-block,https://www.anthropic.com/threat-intelligence-report-september-2026#gtg-20006-russian-espionage,2026-09-10
indicator--dec28c63-9893-5998-8e2c-bdcfaedcf774,GTG-20006,Russian espionage,cyber_operations,sha256,,be99857449d2856dd5a84e21c8a3d5e0e01456adb44062ddec5a6b4970d8d42c,malware,Malware hash,,,detect-or-block,https://www.anthropic.com/threat-intelligence-report-september-2026#gtg-20006-russian-espionage,2026-09-10
indicator--6eab3d56-8fa1-5653-8df0-d67e5fc14249,GTG-50014,ShinyHunters smash-and-grab opportunists,cyber_operations,account,telegram,https[:]//t[.]me/Soraki_Bot,monetization,Criminal storefront account on Telegram,,,detect-or-block,https://www.anthropic.com/threat-intelligence-report-september-2026#gtg-50014-shinyhunters-smash-and-grab-opportunists,2026-09-10
indicator--62c81f9b-2a77-52e0-b109-d6ae8a2e3519,GTG-50014,ShinyHunters smash-and-grab opportunists,cyber_operations,domain,,ari-chain[.]com,phishing,Crypto Themed Phishing Domain,,,detect-or-block,https://www.anthropic.com/threat-intelligence-report-september-2026#gtg-50014-shinyhunters-smash-and-grab-opportunists,2026-09-10
indicator--31508b5a-3543-5cfc-acff-bb3969f85c90,GTG-50014,ShinyHunters smash-and-grab opportunists,cyber_operations,domain,,arichain[.]network,phishing,Crypto Themed Phishing Domain,,,detect-or-block,https://www.anthropic.com/threat-intelligence-report-september-2026#gtg-50014-shinyhunters-smash-and-grab-opportunists,2026-09-10
indicator--0ef40b4e-799e-550f-9a2e-a7c2c8d226f3,GTG-50014,ShinyHunters smash-and-grab opportunists,cyber_operations,domain,,bitmart-mystery[.]com,phishing,Crypto Themed Phishing Domain,,,detect-or-block,https://www.anthropic.com/threat-intelligence-report-september-2026#gtg-50014-shinyhunters-smash-and-grab-opportunists,2026-09-10
indicator--6f4e5a4f-b6cd-543b-8879-d42298e552dd,GTG-50014,ShinyHunters smash-and-grab opportunists,cyber_operations,domain,,defi-claim[.]xyz,phishing,Phishing Domain,,,detect-or-block,https://www.anthropic.com/threat-intelligence-report-september-2026#gtg-50014-shinyhunters-smash-and-grab-opportunists,2026-09-10
indicator--d7053521-43c1-5d47-a6fe-0d715a882db1,GTG-50014,ShinyHunters smash-and-grab opportunists,cyber_operations,domain,,emailsecure[.]email,phishing,Actor email domain,,,detect-or-block,https://www.anthropic.com/threat-intelligence-report-september-2026#gtg-50014-shinyhunters-smash-and-grab-opportunists,2026-09-10
indicator--082f1d0a-c8f1-5e06-99c9-98ba0a728cf3,GTG-50014,ShinyHunters smash-and-grab opportunists,cyber_operations,domain,,mozilla[.]ws,phishing,Mozilla brand-impersonation phishing,,,detect-or-block,https://www.anthropic.com/threat-intelligence-report-september-2026#gtg-50014-shinyhunters-smash-and-grab-opportunists,2026-09-10
indicator--b03d50b4-17c6-5afa-af7e-1054c3180e88,GTG-50014,ShinyHunters smash-and-grab opportunists,cyber_operations,domain,,on-pssword[.]com,phishing,1Password typosquat phishing,,,detect-or-block,https://www.anthropic.com/threat-intelligence-report-september-2026#gtg-50014-shinyhunters-smash-and-grab-opportunists,2026-09-10
indicator--12a4503e-2910-5489-95d7-a524cd0b6c95,GTG-50014,ShinyHunters smash-and-grab opportunists,cyber_operations,domain,,policenationale[.]cc,monetization,A domain name impersonating the French national police (though we believe this served as branding for the criminal storefront rather than as a phishing lure),,,detect-or-block,https://www.anthropic.com/threat-intelligence-report-september-2026#gtg-50014-shinyhunters-smash-and-grab-opportunists,2026-09-10
indicator--13ab5e9d-c488-520b-bd2e-b71ff0f2734b,GTG-50014,ShinyHunters smash-and-grab opportunists,cyber_operations,domain,,service-infos[.]info,phishing,Phishing email domain,,,detect-or-block,https://www.anthropic.com/threat-intelligence-report-september-2026#gtg-50014-shinyhunters-smash-and-grab-opportunists,2026-09-10
